"sector","year","scenario","region","pct_change"
"Agriculture",2024,"Warm/Wet","Racha-Lechkhumi-Kvemo Svaneti",-0.7034
"Industry",2024,"Warm/Wet","Racha-Lechkhumi-Kvemo Svaneti",-0.5392
"Services",2024,"Warm/Wet","Racha-Lechkhumi-Kvemo Svaneti",-0.0648
"Agriculture",2024,"Warm/Wet","Mtskheta-Mtianeti",-0.1782
"Industry",2024,"Warm/Wet","Mtskheta-Mtianeti",-0.0888
"Services",2024,"Warm/Wet","Mtskheta-Mtianeti",-0.0136
"Agriculture",2024,"Warm/Wet","Kakheti",-0.8154
"Industry",2024,"Warm/Wet","Kakheti",-0.2568
"Services",2024,"Warm/Wet","Kakheti",-0.0675
"Agriculture",2024,"Warm/Wet","Samtskhe-Javakheti",-0.0361
"Industry",2024,"Warm/Wet","Samtskhe-Javakheti",-0.0105
"Services",2024,"Warm/Wet","Samtskhe-Javakheti",-0.0021
"Agriculture",2024,"Warm/Wet","Ajaria",-0.6271
"Industry",2024,"Warm/Wet","Ajaria",-0.0958
"Services",2024,"Warm/Wet","Ajaria",-0.024
"Agriculture",2024,"Warm/Wet","Kvemo Kartli",-0.2529
"Industry",2024,"Warm/Wet","Kvemo Kartli",-0.2433
"Services",2024,"Warm/Wet","Kvemo Kartli",-0.047
"Agriculture",2024,"Warm/Wet","Guria",-1.5706
"Industry",2024,"Warm/Wet","Guria",-0.5873
"Services",2024,"Warm/Wet","Guria",-0.1446
"Agriculture",2024,"Warm/Wet","Tbilisi",-0.5452
"Industry",2024,"Warm/Wet","Tbilisi",-0.2451
"Services",2024,"Warm/Wet","Tbilisi",-0.0604
"Agriculture",2024,"Warm/Wet","Imereti",-0.8738
"Industry",2024,"Warm/Wet","Imereti",-0.5915
"Services",2024,"Warm/Wet","Imereti",-0.0928
"Agriculture",2024,"Hot/Dry","Abkhazia",-0.9317
"Industry",2024,"Hot/Dry","Abkhazia",-0.3717
"Services",2024,"Hot/Dry","Abkhazia",-0.0752
"Agriculture",2024,"Hot/Dry","Samegrelo-Zemo Svaneti",-2.6633
"Industry",2024,"Hot/Dry","Samegrelo-Zemo Svaneti",-1.2568
"Services",2024,"Hot/Dry","Samegrelo-Zemo Svaneti",-0.4278
"Agriculture",2024,"Hot/Dry","Shida Kartli",-0.1965
"Industry",2024,"Hot/Dry","Shida Kartli",-0.0615
"Services",2024,"Hot/Dry","Shida Kartli",-0.0109
"Agriculture",2024,"Hot/Dry","Racha-Lechkhumi-Kvemo Svaneti",-1.1346
"Industry",2024,"Hot/Dry","Racha-Lechkhumi-Kvemo Svaneti",-1.0266
"Services",2024,"Hot/Dry","Racha-Lechkhumi-Kvemo Svaneti",-0.1184
"Agriculture",2024,"Hot/Dry","Mtskheta-Mtianeti",-0.3
"Industry",2024,"Hot/Dry","Mtskheta-Mtianeti",-0.1431
"Services",2024,"Hot/Dry","Mtskheta-Mtianeti",-0.0199
"Agriculture",2024,"Hot/Dry","Kakheti",-1.4868
"Industry",2024,"Hot/Dry","Kakheti",-0.4623
"Services",2024,"Hot/Dry","Kakheti",-0.1259
"Agriculture",2024,"Hot/Dry","Samtskhe-Javakheti",-0.0745
"Industry",2024,"Hot/Dry","Samtskhe-Javakheti",-0.0235
"Services",2024,"Hot/Dry","Samtskhe-Javakheti",-0.0052
"Agriculture",2024,"Hot/Dry","Ajaria",-1.1729
"Industry",2024,"Hot/Dry","Ajaria",-0.2024
"Services",2024,"Hot/Dry","Ajaria",-0.0586
"Agriculture",2024,"Hot/Dry","Kvemo Kartli",-0.4677
"Industry",2024,"Hot/Dry","Kvemo Kartli",-0.4642
"Services",2024,"Hot/Dry","Kvemo Kartli",-0.0952
"Agriculture",2024,"Hot/Dry","Guria",-2.3859
"Industry",2024,"Hot/Dry","Guria",-0.9588
"Services",2024,"Hot/Dry","Guria",-0.2602
"Agriculture",2024,"Hot/Dry","Tbilisi",-1.0079
"Industry",2024,"Hot/Dry","Tbilisi",-0.4703
"Services",2024,"Hot/Dry","Tbilisi",-0.1245
"Agriculture",2024,"Hot/Dry","Imereti",-1.3632
"Industry",2024,"Hot/Dry","Imereti",-1.0841
"Services",2024,"Hot/Dry","Imereti",-0.1455
"Agriculture",2024,"Median","Abkhazia",-1.0597
"Industry",2024,"Median","Abkhazia",-0.5038
"Services",2024,"Median","Abkhazia",-0.1057
"Agriculture",2024,"Median","Samegrelo-Zemo Svaneti",-2.7174
"Industry",2024,"Median","Samegrelo-Zemo Svaneti",-1.3036
"Services",2024,"Median","Samegrelo-Zemo Svaneti",-0.4622
"Agriculture",2024,"Median","Shida Kartli",-0.2191
"Industry",2024,"Median","Shida Kartli",-0.0674
"Services",2024,"Median","Shida Kartli",-0.0126
"Agriculture",2024,"Median","Racha-Lechkhumi-Kvemo Svaneti",-1.2427
"Industry",2024,"Median","Racha-Lechkhumi-Kvemo Svaneti",-0.9658
"Services",2024,"Median","Racha-Lechkhumi-Kvemo Svaneti",-0.1409
"Agriculture",2024,"Median","Mtskheta-Mtianeti",-0.3717
"Industry",2024,"Median","Mtskheta-Mtianeti",-0.1724
"Services",2024,"Median","Mtskheta-Mtianeti",-0.0271
"Agriculture",2024,"Median","Kakheti",-1.7286
"Industry",2024,"Median","Kakheti",-0.6019
"Services",2024,"Median","Kakheti",-0.1844
"Agriculture",2024,"Median","Samtskhe-Javakheti",-0.0756
"Industry",2024,"Median","Samtskhe-Javakheti",-0.0267
"Services",2024,"Median","Samtskhe-Javakheti",-0.0062
"Agriculture",2024,"Median","Ajaria",-1.0007
"Industry",2024,"Median","Ajaria",-0.1588
"Services",2024,"Median","Ajaria",-0.0466
"Agriculture",2024,"Median","Kvemo Kartli",-0.5434
"Industry",2024,"Median","Kvemo Kartli",-0.593
"Services",2024,"Median","Kvemo Kartli",-0.1334
"Agriculture",2024,"Median","Guria",-2.4119
"Industry",2024,"Median","Guria",-0.9728
"Services",2024,"Median","Guria",-0.2622
"Agriculture",2024,"Median","Tbilisi",-1.193
"Industry",2024,"Median","Tbilisi",-0.6024
"Services",2024,"Median","Tbilisi",-0.1782
"Agriculture",2024,"Median","Imereti",-1.3927
"Industry",2024,"Median","Imereti",-1.0229
"Services",2024,"Median","Imereti",-0.1574
"Agriculture",2025,"Warm/Wet","Abkhazia",-1.4529
"Industry",2025,"Warm/Wet","Abkhazia",-0.6286
"Services",2025,"Warm/Wet","Abkhazia",-0.145
"Agriculture",2025,"Warm/Wet","Samegrelo-Zemo Svaneti",-3.3067
"Industry",2025,"Warm/Wet","Samegrelo-Zemo Svaneti",-1.626
"Services",2025,"Warm/Wet","Samegrelo-Zemo Svaneti",-0.6102
"Agriculture",2025,"Warm/Wet","Shida Kartli",-0.1982
"Industry",2025,"Warm/Wet","Shida Kartli",-0.0623
"Services",2025,"Warm/Wet","Shida Kartli",-0.0101
"Agriculture",2025,"Warm/Wet","Racha-Lechkhumi-Kvemo Svaneti",-1.2873
"Industry",2025,"Warm/Wet","Racha-Lechkhumi-Kvemo Svaneti",-1.1303
"Services",2025,"Warm/Wet","Racha-Lechkhumi-Kvemo Svaneti",-0.1289
"Agriculture",2025,"Warm/Wet","Mtskheta-Mtianeti",-0.3646
"Industry",2025,"Warm/Wet","Mtskheta-Mtianeti",-0.1831
"Services",2025,"Warm/Wet","Mtskheta-Mtianeti",-0.0256
"Agriculture",2025,"Warm/Wet","Kakheti",-1.8728
"Industry",2025,"Warm/Wet","Kakheti",-0.6047
"Services",2025,"Warm/Wet","Kakheti",-0.1786
"Agriculture",2025,"Warm/Wet","Samtskhe-Javakheti",-0.0738
"Industry",2025,"Warm/Wet","Samtskhe-Javakheti",-0.0217
"Services",2025,"Warm/Wet","Samtskhe-Javakheti",-0.0045
"Agriculture",2025,"Warm/Wet","Ajaria",-1.2709
"Industry",2025,"Warm/Wet","Ajaria",-0.2165
"Services",2025,"Warm/Wet","Ajaria",-0.0612
"Agriculture",2025,"Warm/Wet","Kvemo Kartli",-0.5659
"Industry",2025,"Warm/Wet","Kvemo Kartli",-0.5763
"Services",2025,"Warm/Wet","Kvemo Kartli",-0.1254
"Agriculture",2025,"Warm/Wet","Guria",-2.9212
"Industry",2025,"Warm/Wet","Guria",-1.1675
"Services",2025,"Warm/Wet","Guria",-0.3238
"Agriculture",2025,"Warm/Wet","Tbilisi",-1.2112
"Industry",2025,"Warm/Wet","Tbilisi",-0.5846
"Services",2025,"Warm/Wet","Tbilisi",-0.1633
"Agriculture",2025,"Warm/Wet","Imereti",-1.5911
"Industry",2025,"Warm/Wet","Imereti",-1.2096
"Services",2025,"Warm/Wet","Imereti",-0.1718
"Agriculture",2025,"Hot/Dry","Abkhazia",-1.9192
"Industry",2025,"Hot/Dry","Abkhazia",-0.8501
"Services",2025,"Hot/Dry","Abkhazia",-0.2164
"Agriculture",2025,"Hot/Dry","Samegrelo-Zemo Svaneti",-4.4247
"Industry",2025,"Hot/Dry","Samegrelo-Zemo Svaneti",-2.324
"Services",2025,"Hot/Dry","Samegrelo-Zemo Svaneti",-0.9252
"Agriculture",2025,"Hot/Dry","Shida Kartli",-0.496
"Industry",2025,"Hot/Dry","Shida Kartli",-0.1679
"Services",2025,"Hot/Dry","Shida Kartli",-0.0367
"Agriculture",2025,"Hot/Dry","Racha-Lechkhumi-Kvemo Svaneti",-2.2024
"Industry",2025,"Hot/Dry","Racha-Lechkhumi-Kvemo Svaneti",-1.7673
"Services",2025,"Hot/Dry","Racha-Lechkhumi-Kvemo Svaneti",-0.3074
"Agriculture",2025,"Hot/Dry","Mtskheta-Mtianeti",-0.8067
"Industry",2025,"Hot/Dry","Mtskheta-Mtianeti",-0.4561
"Services",2025,"Hot/Dry","Mtskheta-Mtianeti",-0.0808
"Agriculture",2025,"Hot/Dry","Kakheti",-2.5503
"Industry",2025,"Hot/Dry","Kakheti",-0.9348
"Services",2025,"Hot/Dry","Kakheti",-0.3045
"Agriculture",2025,"Hot/Dry","Samtskhe-Javakheti",-0.1965
"Industry",2025,"Hot/Dry","Samtskhe-Javakheti",-0.0692
"Services",2025,"Hot/Dry","Samtskhe-Javakheti",-0.0179
"Agriculture",2025,"Hot/Dry","Ajaria",-2.0672
"Industry",2025,"Hot/Dry","Ajaria",-0.4457
"Services",2025,"Hot/Dry","Ajaria",-0.1399
"Agriculture",2025,"Hot/Dry","Kvemo Kartli",-0.9537
"Industry",2025,"Hot/Dry","Kvemo Kartli",-1.0615
"Services",2025,"Hot/Dry","Kvemo Kartli",-0.2804
"Agriculture",2025,"Hot/Dry","Guria",-4.0016
"Industry",2025,"Hot/Dry","Guria",-1.7762
"Services",2025,"Hot/Dry","Guria",-0.5498
"Agriculture",2025,"Hot/Dry","Tbilisi",-2.0428
"Industry",2025,"Hot/Dry","Tbilisi",-1.0822
"Services",2025,"Hot/Dry","Tbilisi",-0.3651
"Agriculture",2025,"Hot/Dry","Imereti",-2.4694
"Industry",2025,"Hot/Dry","Imereti",-1.889
"Services",2025,"Hot/Dry","Imereti",-0.3642
"Agriculture",2025,"Median","Abkhazia",-0.4926
"Industry",2025,"Median","Abkhazia",-0.2364
"Services",2025,"Median","Abkhazia",-0.0402
"Agriculture",2025,"Median","Samegrelo-Zemo Svaneti",-1.4659
"Industry",2025,"Median","Samegrelo-Zemo Svaneti",-0.6238
"Services",2025,"Median","Samegrelo-Zemo Svaneti",-0.181
"Agriculture",2025,"Median","Shida Kartli",-0.1019
"Industry",2025,"Median","Shida Kartli",-0.0293
"Services",2025,"Median","Shida Kartli",-0.0047
"Agriculture",2025,"Median","Racha-Lechkhumi-Kvemo Svaneti",-0.7085
"Industry",2025,"Median","Racha-Lechkhumi-Kvemo Svaneti",-0.4362
"Services",2025,"Median","Racha-Lechkhumi-Kvemo Svaneti",-0.0657
"Agriculture",2025,"Median","Mtskheta-Mtianeti",-0.1901
"Industry",2025,"Median","Mtskheta-Mtianeti",-0.0979
"Services",2025,"Median","Mtskheta-Mtianeti",-0.0141
"Agriculture",2025,"Median","Kakheti",-1.2597
"Industry",2025,"Median","Kakheti",-0.389
"Services",2025,"Median","Kakheti",-0.111
"Agriculture",2025,"Median","Samtskhe-Javakheti",-0.0283
"Industry",2025,"Median","Samtskhe-Javakheti",-0.0076
"Services",2025,"Median","Samtskhe-Javakheti",-0.0015
"Agriculture",2025,"Median","Ajaria",-0.5904
"Industry",2025,"Median","Ajaria",-0.0733
"Services",2025,"Median","Ajaria",-0.0188
"Agriculture",2025,"Median","Kvemo Kartli",-0.3299
"Industry",2025,"Median","Kvemo Kartli",-0.3186
"Services",2025,"Median","Kvemo Kartli",-0.0656
"Agriculture",2025,"Median","Guria",-1.3156
"Industry",2025,"Median","Guria",-0.4596
"Services",2025,"Median","Guria",-0.1043
"Agriculture",2025,"Median","Tbilisi",-0.6983
"Industry",2025,"Median","Tbilisi",-0.3212
"Services",2025,"Median","Tbilisi",-0.0845
"Agriculture",2025,"Median","Imereti",-0.7401
"Industry",2025,"Median","Imereti",-0.461
"Services",2025,"Median","Imereti",-0.0658
"Agriculture",2026,"Warm/Wet","Abkhazia",-1.4285
"Industry",2026,"Warm/Wet","Abkhazia",-0.6681
"Services",2026,"Warm/Wet","Abkhazia",-0.155
"Agriculture",2026,"Warm/Wet","Samegrelo-Zemo Svaneti",-3.1227
"Industry",2026,"Warm/Wet","Samegrelo-Zemo Svaneti",-1.5567
"Services",2026,"Warm/Wet","Samegrelo-Zemo Svaneti",-0.6025
"Agriculture",2026,"Warm/Wet","Shida Kartli",-0.174
"Industry",2026,"Warm/Wet","Shida Kartli",-0.0558
"Services",2026,"Warm/Wet","Shida Kartli",-0.0092
"Agriculture",2026,"Warm/Wet","Racha-Lechkhumi-Kvemo Svaneti",-1.3362
"Industry",2026,"Warm/Wet","Racha-Lechkhumi-Kvemo Svaneti",-1.0383
"Services",2026,"Warm/Wet","Racha-Lechkhumi-Kvemo Svaneti",-0.1472
"Agriculture",2026,"Warm/Wet","Mtskheta-Mtianeti",-0.2952
"Industry",2026,"Warm/Wet","Mtskheta-Mtianeti",-0.1467
"Services",2026,"Warm/Wet","Mtskheta-Mtianeti",-0.0194
"Agriculture",2026,"Warm/Wet","Kakheti",-1.5339
"Industry",2026,"Warm/Wet","Kakheti",-0.4825
"Services",2026,"Warm/Wet","Kakheti",-0.1372
"Agriculture",2026,"Warm/Wet","Samtskhe-Javakheti",-0.0658
"Industry",2026,"Warm/Wet","Samtskhe-Javakheti",-0.0189
"Services",2026,"Warm/Wet","Samtskhe-Javakheti",-0.004
"Agriculture",2026,"Warm/Wet","Ajaria",-1.3944
"Industry",2026,"Warm/Wet","Ajaria",-0.2746
"Services",2026,"Warm/Wet","Ajaria",-0.0783
"Agriculture",2026,"Warm/Wet","Kvemo Kartli",-0.4575
"Industry",2026,"Warm/Wet","Kvemo Kartli",-0.5081
"Services",2026,"Warm/Wet","Kvemo Kartli",-0.1082
"Agriculture",2026,"Warm/Wet","Guria",-2.7722
"Industry",2026,"Warm/Wet","Guria",-1.1558
"Services",2026,"Warm/Wet","Guria",-0.333
"Agriculture",2026,"Warm/Wet","Tbilisi",-1.0601
"Industry",2026,"Warm/Wet","Tbilisi",-0.5186
"Services",2026,"Warm/Wet","Tbilisi",-0.1448
"Agriculture",2026,"Warm/Wet","Imereti",-1.5183
"Industry",2026,"Warm/Wet","Imereti",-1.1122
"Services",2026,"Warm/Wet","Imereti",-0.1716
"Agriculture",2026,"Hot/Dry","Abkhazia",-2.0284
"Industry",2026,"Hot/Dry","Abkhazia",-0.9257
"Services",2026,"Hot/Dry","Abkhazia",-0.224
"Agriculture",2026,"Hot/Dry","Samegrelo-Zemo Svaneti",-4.6335
"Industry",2026,"Hot/Dry","Samegrelo-Zemo Svaneti",-2.472
"Services",2026,"Hot/Dry","Samegrelo-Zemo Svaneti",-1.0418
"Agriculture",2026,"Hot/Dry","Shida Kartli",-0.3618
"Industry",2026,"Hot/Dry","Shida Kartli",-0.1287
"Services",2026,"Hot/Dry","Shida Kartli",-0.0267
"Agriculture",2026,"Hot/Dry","Racha-Lechkhumi-Kvemo Svaneti",-2.1316
"Industry",2026,"Hot/Dry","Racha-Lechkhumi-Kvemo Svaneti",-1.6189
"Services",2026,"Hot/Dry","Racha-Lechkhumi-Kvemo Svaneti",-0.3188
"Agriculture",2026,"Hot/Dry","Mtskheta-Mtianeti",-0.5281
"Industry",2026,"Hot/Dry","Mtskheta-Mtianeti",-0.2799
"Services",2026,"Hot/Dry","Mtskheta-Mtianeti",-0.045
"Agriculture",2026,"Hot/Dry","Kakheti",-1.9702
"Industry",2026,"Hot/Dry","Kakheti",-0.6932
"Services",2026,"Hot/Dry","Kakheti",-0.2115
"Agriculture",2026,"Hot/Dry","Samtskhe-Javakheti",-0.1491
"Industry",2026,"Hot/Dry","Samtskhe-Javakheti",-0.0533
"Services",2026,"Hot/Dry","Samtskhe-Javakheti",-0.0135
"Agriculture",2026,"Hot/Dry","Ajaria",-2.0098
"Industry",2026,"Hot/Dry","Ajaria",-0.4212
"Services",2026,"Hot/Dry","Ajaria",-0.1318
"Agriculture",2026,"Hot/Dry","Kvemo Kartli",-0.6763
"Industry",2026,"Hot/Dry","Kvemo Kartli",-0.7456
"Services",2026,"Hot/Dry","Kvemo Kartli",-0.179
"Agriculture",2026,"Hot/Dry","Guria",-4.0033
"Industry",2026,"Hot/Dry","Guria",-1.7902
"Services",2026,"Hot/Dry","Guria",-0.5626
"Agriculture",2026,"Hot/Dry","Tbilisi",-1.4803
"Industry",2026,"Hot/Dry","Tbilisi",-0.759
"Services",2026,"Hot/Dry","Tbilisi",-0.2361
"Agriculture",2026,"Hot/Dry","Imereti",-2.5546
"Industry",2026,"Hot/Dry","Imereti",-1.7738
"Services",2026,"Hot/Dry","Imereti",-0.3958
"Agriculture",2026,"Median","Abkhazia",-1.076
"Industry",2026,"Median","Abkhazia",-0.4819
"Services",2026,"Median","Abkhazia",-0.1108
"Agriculture",2026,"Median","Samegrelo-Zemo Svaneti",-2.4087
"Industry",2026,"Median","Samegrelo-Zemo Svaneti",-1.1713
"Services",2026,"Median","Samegrelo-Zemo Svaneti",-0.4277
"Agriculture",2026,"Median","Shida Kartli",-0.214
"Industry",2026,"Median","Shida Kartli",-0.0696
"Services",2026,"Median","Shida Kartli",-0.0121
"Agriculture",2026,"Median","Racha-Lechkhumi-Kvemo Svaneti",-1.1755
"Industry",2026,"Median","Racha-Lechkhumi-Kvemo Svaneti",-0.8659
"Services",2026,"Median","Racha-Lechkhumi-Kvemo Svaneti",-0.1342
"Agriculture",2026,"Median","Mtskheta-Mtianeti",-0.3822
"Industry",2026,"Median","Mtskheta-Mtianeti",-0.1951
"Services",2026,"Median","Mtskheta-Mtianeti",-0.0301
"Agriculture",2026,"Median","Kakheti",-1.5483
"Industry",2026,"Median","Kakheti",-0.5277
"Services",2026,"Median","Kakheti",-0.1546
"Agriculture",2026,"Median","Samtskhe-Javakheti",-0.086
"Industry",2026,"Median","Samtskhe-Javakheti",-0.0258
"Services",2026,"Median","Samtskhe-Javakheti",-0.006
"Agriculture",2026,"Median","Ajaria",-0.9382
"Industry",2026,"Median","Ajaria",-0.1864
"Services",2026,"Median","Ajaria",-0.0527
"Agriculture",2026,"Median","Kvemo Kartli",-0.5512
"Industry",2026,"Median","Kvemo Kartli",-0.5853
"Services",2026,"Median","Kvemo Kartli",-0.1338
"Agriculture",2026,"Median","Guria",-2.13
"Industry",2026,"Median","Guria",-0.8874
"Services",2026,"Median","Guria",-0.2499
"Agriculture",2026,"Median","Tbilisi",-1.1867
"Industry",2026,"Median","Tbilisi",-0.5942
"Services",2026,"Median","Tbilisi",-0.1749
"Agriculture",2026,"Median","Imereti",-1.3548
"Industry",2026,"Median","Imereti",-0.9433
"Services",2026,"Median","Imereti",-0.1728
"Agriculture",2027,"Warm/Wet","Abkhazia",-1.4516
"Industry",2027,"Warm/Wet","Abkhazia",-0.6699
"Services",2027,"Warm/Wet","Abkhazia",-0.1577
"Agriculture",2027,"Warm/Wet","Samegrelo-Zemo Svaneti",-3.1093
"Industry",2027,"Warm/Wet","Samegrelo-Zemo Svaneti",-1.5751
"Services",2027,"Warm/Wet","Samegrelo-Zemo Svaneti",-0.6339
"Agriculture",2027,"Warm/Wet","Shida Kartli",-0.1802
"Industry",2027,"Warm/Wet","Shida Kartli",-0.0607
"Services",2027,"Warm/Wet","Shida Kartli",-0.0106
"Agriculture",2027,"Warm/Wet","Racha-Lechkhumi-Kvemo Svaneti",-1.2645
"Industry",2027,"Warm/Wet","Racha-Lechkhumi-Kvemo Svaneti",-0.976
"Services",2027,"Warm/Wet","Racha-Lechkhumi-Kvemo Svaneti",-0.1448
"Agriculture",2027,"Warm/Wet","Mtskheta-Mtianeti",-0.2923
"Industry",2027,"Warm/Wet","Mtskheta-Mtianeti",-0.1523
"Services",2027,"Warm/Wet","Mtskheta-Mtianeti",-0.0206
"Agriculture",2027,"Warm/Wet","Kakheti",-1.3959
"Industry",2027,"Warm/Wet","Kakheti",-0.4507
"Services",2027,"Warm/Wet","Kakheti",-0.1294
"Agriculture",2027,"Warm/Wet","Samtskhe-Javakheti",-0.0797
"Industry",2027,"Warm/Wet","Samtskhe-Javakheti",-0.027
"Services",2027,"Warm/Wet","Samtskhe-Javakheti",-0.0062
"Agriculture",2027,"Warm/Wet","Ajaria",-1.3559
"Industry",2027,"Warm/Wet","Ajaria",-0.2708
"Services",2027,"Warm/Wet","Ajaria",-0.0786
"Agriculture",2027,"Warm/Wet","Kvemo Kartli",-0.4171
"Industry",2027,"Warm/Wet","Kvemo Kartli",-0.4663
"Services",2027,"Warm/Wet","Kvemo Kartli",-0.0997
"Agriculture",2027,"Warm/Wet","Guria",-2.7223
"Industry",2027,"Warm/Wet","Guria",-1.153
"Services",2027,"Warm/Wet","Guria",-0.3491
"Agriculture",2027,"Warm/Wet","Tbilisi",-0.9676
"Industry",2027,"Warm/Wet","Tbilisi",-0.4757
"Services",2027,"Warm/Wet","Tbilisi",-0.1336
"Agriculture",2027,"Warm/Wet","Imereti",-1.5708
"Industry",2027,"Warm/Wet","Imereti",-1.0828
"Services",2027,"Warm/Wet","Imereti",-0.2217
"Agriculture",2027,"Hot/Dry","Abkhazia",-2.582
"Industry",2027,"Hot/Dry","Abkhazia",-1.1205
"Services",2027,"Hot/Dry","Abkhazia",-0.3511
"Agriculture",2027,"Hot/Dry","Samegrelo-Zemo Svaneti",-4.9661
"Industry",2027,"Hot/Dry","Samegrelo-Zemo Svaneti",-2.7696
"Services",2027,"Hot/Dry","Samegrelo-Zemo Svaneti",-1.2096
"Agriculture",2027,"Hot/Dry","Shida Kartli",-0.5035
"Industry",2027,"Hot/Dry","Shida Kartli",-0.1798
"Services",2027,"Hot/Dry","Shida Kartli",-0.0394
"Agriculture",2027,"Hot/Dry","Racha-Lechkhumi-Kvemo Svaneti",-2.363
"Industry",2027,"Hot/Dry","Racha-Lechkhumi-Kvemo Svaneti",-1.9125
"Services",2027,"Hot/Dry","Racha-Lechkhumi-Kvemo Svaneti",-0.364
"Agriculture",2027,"Hot/Dry","Mtskheta-Mtianeti",-0.7686
"Industry",2027,"Hot/Dry","Mtskheta-Mtianeti",-0.3992
"Services",2027,"Hot/Dry","Mtskheta-Mtianeti",-0.0785
"Agriculture",2027,"Hot/Dry","Kakheti",-2.2703
"Industry",2027,"Hot/Dry","Kakheti",-0.8775
"Services",2027,"Hot/Dry","Kakheti",-0.285
"Agriculture",2027,"Hot/Dry","Samtskhe-Javakheti",-0.2701
"Industry",2027,"Hot/Dry","Samtskhe-Javakheti",-0.1003
"Services",2027,"Hot/Dry","Samtskhe-Javakheti",-0.0276
"Agriculture",2027,"Hot/Dry","Ajaria",-2.5781
"Industry",2027,"Hot/Dry","Ajaria",-0.727
"Services",2027,"Hot/Dry","Ajaria",-0.2498
"Agriculture",2027,"Hot/Dry","Kvemo Kartli",-0.8829
"Industry",2027,"Hot/Dry","Kvemo Kartli",-0.9467
"Services",2027,"Hot/Dry","Kvemo Kartli",-0.2506
"Agriculture",2027,"Hot/Dry","Guria",-4.4286
"Industry",2027,"Hot/Dry","Guria",-2.1235
"Services",2027,"Hot/Dry","Guria",-0.7233
"Agriculture",2027,"Hot/Dry","Tbilisi",-1.7989
"Industry",2027,"Hot/Dry","Tbilisi",-0.9604
"Services",2027,"Hot/Dry","Tbilisi",-0.3235
"Agriculture",2027,"Hot/Dry","Imereti",-2.8971
"Industry",2027,"Hot/Dry","Imereti",-2.1199
"Services",2027,"Hot/Dry","Imereti",-0.5038
"Agriculture",2027,"Median","Abkhazia",-0.6472
"Industry",2027,"Median","Abkhazia",-0.3105
"Services",2027,"Median","Abkhazia",-0.0596
"Agriculture",2027,"Median","Samegrelo-Zemo Svaneti",-1.8364
"Industry",2027,"Median","Samegrelo-Zemo Svaneti",-0.8492
"Services",2027,"Median","Samegrelo-Zemo Svaneti",-0.2887
"Agriculture",2027,"Median","Shida Kartli",-0.2705
"Industry",2027,"Median","Shida Kartli",-0.0882
"Services",2027,"Median","Shida Kartli",-0.0176
"Agriculture",2027,"Median","Racha-Lechkhumi-Kvemo Svaneti",-0.9825
"Industry",2027,"Median","Racha-Lechkhumi-Kvemo Svaneti",-0.7579
"Services",2027,"Median","Racha-Lechkhumi-Kvemo Svaneti",-0.1049
"Agriculture",2027,"Median","Mtskheta-Mtianeti",-0.5053
"Industry",2027,"Median","Mtskheta-Mtianeti",-0.2735
"Services",2027,"Median","Mtskheta-Mtianeti",-0.0466
"Agriculture",2027,"Median","Kakheti",-2.0097
"Industry",2027,"Median","Kakheti",-0.7333
"Services",2027,"Median","Kakheti",-0.2422
"Agriculture",2027,"Median","Samtskhe-Javakheti",-0.1058
"Industry",2027,"Median","Samtskhe-Javakheti",-0.0294
"Services",2027,"Median","Samtskhe-Javakheti",-0.0069
"Agriculture",2027,"Median","Ajaria",-0.6613
"Industry",2027,"Median","Ajaria",-0.0924
"Services",2027,"Median","Ajaria",-0.0256
"Agriculture",2027,"Median","Kvemo Kartli",-0.7008
"Industry",2027,"Median","Kvemo Kartli",-0.7541
"Services",2027,"Median","Kvemo Kartli",-0.1898
"Agriculture",2027,"Median","Guria",-1.6397
"Industry",2027,"Median","Guria",-0.6654
"Services",2027,"Median","Guria",-0.176
"Agriculture",2027,"Median","Tbilisi",-1.459
"Industry",2027,"Median","Tbilisi",-0.7643
"Services",2027,"Median","Tbilisi",-0.2454
"Agriculture",2027,"Median","Imereti",-1.1769
"Industry",2027,"Median","Imereti",-0.8242
"Services",2027,"Median","Imereti",-0.1442
"Agriculture",2028,"Warm/Wet","Abkhazia",-1.5083
"Industry",2028,"Warm/Wet","Abkhazia",-0.6756
"Services",2028,"Warm/Wet","Abkhazia",-0.1637
"Agriculture",2028,"Warm/Wet","Samegrelo-Zemo Svaneti",-3.248
"Industry",2028,"Warm/Wet","Samegrelo-Zemo Svaneti",-1.5863
"Services",2028,"Warm/Wet","Samegrelo-Zemo Svaneti",-0.5977
"Agriculture",2028,"Warm/Wet","Shida Kartli",-0.1864
"Industry",2028,"Warm/Wet","Shida Kartli",-0.063
"Services",2028,"Warm/Wet","Shida Kartli",-0.0107
"Agriculture",2028,"Warm/Wet","Racha-Lechkhumi-Kvemo Svaneti",-1.3637
"Industry",2028,"Warm/Wet","Racha-Lechkhumi-Kvemo Svaneti",-1.1318
"Services",2028,"Warm/Wet","Racha-Lechkhumi-Kvemo Svaneti",-0.1574
"Agriculture",2028,"Warm/Wet","Mtskheta-Mtianeti",-0.2968
"Industry",2028,"Warm/Wet","Mtskheta-Mtianeti",-0.1855
"Services",2028,"Warm/Wet","Mtskheta-Mtianeti",-0.0203
"Agriculture",2028,"Warm/Wet","Kakheti",-1.0653
"Industry",2028,"Warm/Wet","Kakheti",-0.3691
"Services",2028,"Warm/Wet","Kakheti",-0.0995
